bank_txn_id,value_date,credit_datetime,amount,narration,reference
bnk_r7DXQsedBE,2026-07-03,2026-07-03 21:00:00,4744278,NEFT CR-HDFC0000123-RAZORPAY SOFTWARE PVT LTD-206389694w93-SETTLEMENT,206389694w93
bnk_vi1t9vyVFg,2026-07-07,2026-07-07 16:00:00,2044026,NEFT CR-HDFC0000123-RAZORPAY SOFTWARE PVT LTD-666690337n24-SETTLEMENT,666690337n24
bnk_CqpgrxMp1j,2026-07-05,2026-07-05 17:00:00,383038,NEFT CR-HDFC0000123-RAZORPAY SOFTWARE PVT LTD-478833337H8-SETTLEMENT,478833337H8
bnk_5Slj9C2Efy,2026-07-06,2026-07-06 18:00:00,7628493,NEFT CR-HDFC0000123-RAZORPAY SOFTWARE PVT LTD-483426624z18-SETTLEMENT,483426624z18
bnk_7nvdE2ODH0,2026-07-07,2026-07-07 18:00:00,3018610,NEFT CR-HDFC0000123-RAZORPAY SOFTWARE PVT LTD-206389694wxy-SETTLEMENT,206389694wxy
bnk_iqwzcdIwrx,2026-07-08,2026-07-08 19:00:00,12788435,NEFT CR-HDFC0000123-RAZORPAY SOFTWARE PVT LTD-456401418i25-SETTLEMENT,456401418i25
bnk_Vr9Qh8yXv6,2026-07-09,2026-07-09 20:00:00,6937466,NEFT CR-HDFC0000123-RAZORPAY SOFTWARE PVT LTD-293763673r47-SETTLEMENT,293763673r47
bnk_mFFciuDCLF,2026-07-10,2026-07-10 18:00:00,7236842,NEFT CR-HDFC0000123-RAZORPAY SOFTWARE PVT LTD-161587757c95-SETTLEMENT,161587757c95
bnk_5tyM0KFFEI,2026-07-11,2026-07-11 18:00:00,2926629,NEFT CR-HDFC0000123-RAZORPAY SOFTWARE PVT LTD-264752975v67-SETTLEMENT,264752975v67
bnk_YwP8KXSQbD,2026-07-12,2026-07-12 20:00:00,314328,NEFT CR-HDFC0000123-RAZORPAY SOFTWARE PVT LTD-579182105g88-SETTLEMENT,579182105g88
bnk_SKkMM0jQb6,2026-07-04,2026-07-04 16:00:00,2540420,NEFT CR-HDFC0000123-RAZORPAY SOFTWARE PVT LTD-132519237p90-SETTLEMENT,132519237p90
