order_id,order_receipt,payment_id,amount,currency,method,created_at,status,customer_state
order_2001,RCPT-2026-2001,pay_igTHKbfoLISRAB,70547,INR,upi,2026-07-05 07:14:00,captured,07
order_2002,RCPT-2026-2002,pay_vj7uff0LYTH8xI,36761,INR,netbanking,2026-07-03 22:27:00,captured,24
order_2003,RCPT-2026-2003,pay_coreogrNwwmq6O,684920,INR,netbanking,2026-07-04 22:04:00,captured,24
order_2004,RCPT-2026-2004,pay_x9NIQ0Wobtqn62,999759,INR,upi,2026-07-04 05:29:00,captured,07
order_2005,RCPT-2026-2005,pay_iUHUAKw9iEU1jj,936047,INR,card,2026-07-08 04:16:00,captured,33
order_2006,RCPT-2026-2006,pay_pI6Qh2UVvsjaSS,727139,INR,upi,2026-07-10 14:33:00,captured,24
order_2007,RCPT-2026-2007,pay_0Fmxk754LEgw9Y,951470,INR,upi,2026-07-02 20:19:00,captured,29
order_2008,RCPT-2026-2008,pay_EeVVhDIq2AnHTm,1627355,INR,card,2026-07-02 02:46:00,captured,07
order_2009,RCPT-2026-2009,pay_GhnuKoneNo41eo,1250796,INR,card,2026-07-06 14:57:00,captured,33
order_2010,RCPT-2026-2010,pay_pDzfOvz1dOOdTX,266382,INR,card,2026-07-10 18:30:00,captured,27
order_2011,RCPT-2026-2011,pay_lC2eY1gOHafUoz,372050,INR,card,2026-07-08 04:27:00,captured,33
order_2012,RCPT-2026-2012,pay_ay5WrRTWPElndT,756839,INR,card,2026-07-01 05:24:00,captured,27
order_2013,RCPT-2026-2013,pay_5GdF0ee1z6JJcf,129232,INR,upi,2026-07-10 15:32:00,captured,24
order_2014,RCPT-2026-2014,pay_SoyPstUeC99enq,602307,INR,upi,2026-07-05 06:42:00,captured,07
order_2015,RCPT-2026-2015,pay_BHs8YGPI5g2q3U,1629656,INR,netbanking,2026-07-06 09:10:00,captured,29
order_2016,RCPT-2026-2016,pay_NqE40fAraVNqTI,1128775,INR,card,2026-07-06 06:43:00,captured,33
order_2017,RCPT-2026-2017,pay_ZKjht3X13npgW2,229081,INR,upi,2026-07-03 17:02:00,captured,33
order_2018,RCPT-2026-2018,pay_Y2bTu5X1YqWg21,1392772,INR,wallet,2026-07-04 05:51:00,captured,29
order_2019,RCPT-2026-2019,pay_Xoblu17rNy8H6h,1701167,INR,card,2026-07-06 09:52:00,captured,07
order_2020,RCPT-2026-2020,pay_KvWB9h3lcBGYQ6,1781621,INR,card,2026-07-05 01:06:00,captured,29
order_2021,RCPT-2026-2021,pay_Ph3FPuRIlPxUkJ,152609,INR,card,2026-07-06 19:20:00,captured,33
