entity_id,type,debit,credit,amount,currency,fee,tax,on_hold,settled,created_at,settled_at,settlement_id,posted_at,credit_type,description,notes,payment_id,settlement_utr,order_id,order_receipt,method,card_network,card_issuer,card_type,dispute_id
pay_ay5WrRTWPElndT,payment,0,738977,756839,INR,15137,2725,false,true,2026-07-01 05:24:00,2026-07-03 11:00:00,setl_4jB6nBvbdFo9xb,2026-07-03 11:00:00,default,,,pay_ay5WrRTWPElndT,206389694w93,order_2012,RCPT-2026-2012,card,Amex,ICICI,credit,
pay_uCu2r6AZDUd7ne,payment,0,847072,867546,INR,17351,3123,false,true,2026-07-01 08:24:00,2026-07-03 11:00:00,setl_4jB6nBvbdFo9xb,2026-07-03 11:00:00,default,,,pay_uCu2r6AZDUd7ne,206389694w93,order_2028,RCPT-2026-2028,card,MasterCard,HDFC,debit,
pay_Y6fpIzKMWx4sKA,payment,0,1078021,1078021,INR,0,0,false,true,2026-07-01 04:09:00,2026-07-03 11:00:00,setl_4jB6nBvbdFo9xb,2026-07-03 11:00:00,default,,,pay_Y6fpIzKMWx4sKA,206389694w93,order_2036,RCPT-2026-2036,upi,,,,
pay_xjGJXke1Mo4iCp,payment,0,106269,108838,INR,2177,392,false,true,2026-07-01 09:22:00,2026-07-03 11:00:00,setl_4jB6nBvbdFo9xb,2026-07-03 11:00:00,default,,,pay_xjGJXke1Mo4iCp,206389694w93,order_2047,RCPT-2026-2047,netbanking,,,,
pay_BJTfsUkiH8G4Zp,payment,0,1673702,1673702,INR,0,0,false,true,2026-07-01 09:50:00,2026-07-03 11:00:00,setl_4jB6nBvbdFo9xb,2026-07-03 11:00:00,default,,,pay_BJTfsUkiH8G4Zp,206389694w93,order_2050,RCPT-2026-2050,upi,,,,
pay_YZ8fOcR9GLw4yW,payment,0,300237,300237,INR,0,0,false,true,2026-07-01 14:06:00,2026-07-03 11:00:00,setl_4jB6nBvbdFo9xb,2026-07-03 11:00:00,default,,,pay_YZ8fOcR9GLw4yW,206389694w93,order_2068,RCPT-2026-2068,upi,,,,
pay_0Fmxk754LEgw9Y,payment,0,951470,951470,INR,0,0,false,true,2026-07-02 20:19:00,2026-07-04 11:00:00,setl_kM3u5c1f6VqnJM,2026-07-04 11:00:00,default,,,pay_0Fmxk754LEgw9Y,132519237p90,order_2007,RCPT-2026-2007,upi,,,,
pay_EeVVhDIq2AnHTm,payment,0,1588950,1627355,INR,32547,5858,false,true,2026-07-02 02:46:00,2026-07-04 11:00:00,setl_kM3u5c1f6VqnJM,2026-07-04 11:00:00,default,,,pay_EeVVhDIq2AnHTm,132519237p90,order_2008,RCPT-2026-2008,card,MasterCard,AXIS,credit,
pay_tU6QlTrKVL8Zsw,payment,0,472320,483737,INR,9675,1742,false,true,2026-07-02 23:12:00,2026-07-04 11:00:00,setl_XirZRiRBaepZIT,2026-07-04 11:00:00,default,,,pay_tU6QlTrKVL8Zsw,666690337n24,order_2034,RCPT-2026-2034,card,RuPay,SBIN,credit,
pay_nOjkeaBKsoRRCQ,payment,0,1137537,1137537,INR,0,0,false,true,2026-07-02 06:40:00,2026-07-04 11:00:00,setl_XirZRiRBaepZIT,2026-07-04 11:00:00,default,,,pay_nOjkeaBKsoRRCQ,666690337n24,order_2037,RCPT-2026-2037,upi,,,,
pay_IhroAIVMPILOQb,payment,0,434169,434169,INR,0,0,false,true,2026-07-02 11:54:00,2026-07-04 11:00:00,setl_XirZRiRBaepZIT,2026-07-04 11:00:00,default,,,pay_IhroAIVMPILOQb,666690337n24,order_2060,RCPT-2026-2060,upi,,,,
pay_vj7uff0LYTH8xI,payment,0,35894,36761,INR,735,132,false,true,2026-07-03 22:27:00,2026-07-05 12:00:00,setl_ohoNMdZEHNJSsa,2026-07-05 12:00:00,default,,,pay_vj7uff0LYTH8xI,478833337h83,order_2002,RCPT-2026-2002,netbanking,,,,
pay_ZKjht3X13npgW2,payment,0,229081,229081,INR,0,0,false,true,2026-07-03 17:02:00,2026-07-05 12:00:00,setl_ohoNMdZEHNJSsa,2026-07-05 12:00:00,default,,,pay_ZKjht3X13npgW2,478833337h83,order_2017,RCPT-2026-2017,upi,,,,
pay_PqPEBqUhArQEPc,payment,0,118063,120916,INR,2418,435,false,true,2026-07-03 19:03:00,2026-07-05 12:00:00,setl_ohoNMdZEHNJSsa,2026-07-05 12:00:00,default,,,pay_PqPEBqUhArQEPc,478833337h83,order_2062,RCPT-2026-2062,card,RuPay,SBIN,credit,
pay_coreogrNwwmq6O,payment,0,668756,684920,INR,13698,2466,false,true,2026-07-04 22:04:00,2026-07-06 11:00:00,setl_lPGw7HWFb2cxxU,2026-07-06 11:00:00,default,,,pay_coreogrNwwmq6O,483426624z18,order_2003,RCPT-2026-2003,netbanking,,,,
pay_x9NIQ0Wobtqn62,payment,0,999759,999759,INR,0,0,false,true,2026-07-04 05:29:00,2026-07-06 11:00:00,setl_lPGw7HWFb2cxxU,2026-07-06 11:00:00,default,,,pay_x9NIQ0Wobtqn62,483426624z18,order_2004,RCPT-2026-2004,upi,,,,
pay_Y2bTu5X1YqWg21,payment,0,1359903,1392772,INR,27855,5014,false,true,2026-07-04 05:51:00,2026-07-06 11:00:00,setl_lPGw7HWFb2cxxU,2026-07-06 11:00:00,default,,,pay_Y2bTu5X1YqWg21,483426624z18,order_2018,RCPT-2026-2018,wallet,,,,
pay_c9LVC2JSxyjQ31,payment,0,434892,434892,INR,0,0,false,true,2026-07-04 04:01:00,2026-07-06 11:00:00,setl_lPGw7HWFb2cxxU,2026-07-06 11:00:00,default,,,pay_c9LVC2JSxyjQ31,483426624z18,order_2023,RCPT-2026-2023,upi,,,,
pay_jhPInRVkLUhY7g,payment,0,1758036,1758036,INR,0,0,false,true,2026-07-04 00:39:00,2026-07-06 11:00:00,setl_lPGw7HWFb2cxxU,2026-07-06 11:00:00,default,,,pay_jhPInRVkLUhY7g,483426624z18,order_2029,RCPT-2026-2029,upi,,,,
pay_HO4ZektUJrhQR6,payment,0,1138182,1165693,INR,23314,4197,false,true,2026-07-04 13:07:00,2026-07-06 11:00:00,setl_lPGw7HWFb2cxxU,2026-07-06 11:00:00,default,,,pay_HO4ZektUJrhQR6,483426624z18,order_2038,RCPT-2026-2038,netbanking,,,,
pay_tazn0h6Oj5sRzD,payment,0,1147030,1174754,INR,23495,4229,false,true,2026-07-04 22:10:00,2026-07-06 11:00:00,setl_lPGw7HWFb2cxxU,2026-07-06 11:00:00,default,,,pay_tazn0h6Oj5sRzD,483426624z18,order_2042,RCPT-2026-2042,card,MasterCard,SBIN,credit,
pay_VVrhEAiHoIPvyU,payment,0,121935,124883,INR,2498,450,false,true,2026-07-04 09:13:00,2026-07-06 11:00:00,setl_lPGw7HWFb2cxxU,2026-07-06 11:00:00,default,,,pay_VVrhEAiHoIPvyU,483426624z18,order_2063,RCPT-2026-2063,wallet,,,,
pay_igTHKbfoLISRAB,payment,0,70547,70547,INR,0,0,false,true,2026-07-05 07:14:00,2026-07-07 09:00:00,setl_oOgKUivuNZQ8Dl,2026-07-07 09:00:00,default,,,pay_igTHKbfoLISRAB,206389694wxy,order_2001,RCPT-2026-2001,upi,,,,
pay_SoyPstUeC99enq,payment,0,602307,602307,INR,0,0,false,true,2026-07-05 06:42:00,2026-07-07 09:00:00,setl_oOgKUivuNZQ8Dl,2026-07-07 09:00:00,default,,,pay_SoyPstUeC99enq,206389694wxy,order_2014,RCPT-2026-2014,upi,,,,
pay_KvWB9h3lcBGYQ6,payment,0,1739575,1781621,INR,35632,6414,false,true,2026-07-05 01:06:00,2026-07-07 09:00:00,setl_oOgKUivuNZQ8Dl,2026-07-07 09:00:00,default,,,pay_KvWB9h3lcBGYQ6,206389694wxy,order_2020,RCPT-2026-2020,card,Visa,ICICI,credit,
pay_IRh1E2JDBld6DY,payment,0,976156,999750,INR,19995,3599,false,true,2026-07-05 01:03:00,2026-07-07 09:00:00,setl_oOgKUivuNZQ8Dl,2026-07-07 09:00:00,default,,,pay_IRh1E2JDBld6DY,206389694wxy,order_2035,RCPT-2026-2035,card,MasterCard,AXIS,credit,
pay_TGUDWFgF6cW1GC,payment,0,53702,53702,INR,0,0,false,true,2026-07-05 01:08:00,2026-07-07 09:00:00,setl_oOgKUivuNZQ8Dl,2026-07-07 09:00:00,default,,,pay_TGUDWFgF6cW1GC,206389694wxy,order_2056,RCPT-2026-2056,upi,,,,
rfnd_xp07LjfP4tOPhR,refund,423677,0,423677,INR,0,0,false,true,2026-07-05 20:19:00,2026-07-07 09:00:00,setl_oOgKUivuNZQ8Dl,2026-07-07 09:00:00,default,Refund against pay_0Fmxk754LEgw9Y,,pay_0Fmxk754LEgw9Y,206389694wxy,order_2007,RCPT-2026-2007,upi,,,,
pay_GhnuKoneNo41eo,payment,0,1221277,1250796,INR,25016,4503,false,true,2026-07-06 14:57:00,2026-07-08 11:00:00,setl_scmc5F9HpUlwW1,2026-07-08 11:00:00,default,,,pay_GhnuKoneNo41eo,456401418i25,order_2009,RCPT-2026-2009,card,RuPay,KKBK,debit,
pay_BHs8YGPI5g2q3U,payment,0,1591196,1629656,INR,32593,5867,true,false,2026-07-06 09:10:00,,,2026-07-08 11:00:00,default,,,pay_BHs8YGPI5g2q3U,,order_2015,RCPT-2026-2015,netbanking,,,,
pay_NqE40fAraVNqTI,payment,0,1102135,1128775,INR,22576,4064,false,true,2026-07-06 06:43:00,2026-07-08 11:00:00,setl_scmc5F9HpUlwW1,2026-07-08 11:00:00,default,,,pay_NqE40fAraVNqTI,456401418i25,order_2016,RCPT-2026-2016,card,Amex,KKBK,credit,
pay_Xoblu17rNy8H6h,payment,0,1661020,1701167,INR,34023,6124,false,true,2026-07-06 09:52:00,2026-07-08 11:00:00,setl_scmc5F9HpUlwW1,2026-07-08 11:00:00,default,,,pay_Xoblu17rNy8H6h,456401418i25,order_2019,RCPT-2026-2019,card,Visa,HDFC,debit,
pay_Ph3FPuRIlPxUkJ,payment,0,149008,152609,INR,3052,549,false,true,2026-07-06 19:20:00,2026-07-08 11:00:00,setl_scmc5F9HpUlwW1,2026-07-08 11:00:00,default,,,pay_Ph3FPuRIlPxUkJ,456401418i25,order_2021,RCPT-2026-2021,card,Amex,AXIS,debit,
pay_HCtlRJoWcURYxP,payment,0,908871,908871,INR,0,0,false,true,2026-07-06 17:48:00,2026-07-08 11:00:00,setl_scmc5F9HpUlwW1,2026-07-08 11:00:00,default,,,pay_HCtlRJoWcURYxP,456401418i25,order_2044,RCPT-2026-2044,upi,,,,
pay_7i71S87XwXaHCP,payment,0,550263,563563,INR,11271,2029,false,true,2026-07-06 03:29:00,2026-07-08 11:00:00,setl_scmc5F9HpUlwW1,2026-07-08 11:00:00,default,,,pay_7i71S87XwXaHCP,456401418i25,order_2051,RCPT-2026-2051,wallet,,,,
pay_ob2I4ndZ4szi6s,payment,0,1525894,1525894,INR,0,0,false,true,2026-07-06 03:43:00,2026-07-08 11:00:00,setl_scmc5F9HpUlwW1,2026-07-08 11:00:00,default,,,pay_ob2I4ndZ4szi6s,456401418i25,order_2052,RCPT-2026-2052,upi,,,,
pay_w3Ndr86ZfnN8du,payment,0,455829,455829,INR,0,0,false,true,2026-07-06 03:43:00,2026-07-08 11:00:00,setl_scmc5F9HpUlwW1,2026-07-08 11:00:00,default,,,pay_w3Ndr86ZfnN8du,456401418i25,order_2054,RCPT-2026-2054,upi,,,,
pay_d7IPz26A4drtgF,payment,0,1383849,1383849,INR,0,0,false,true,2026-07-06 04:35:00,2026-07-08 11:00:00,setl_scmc5F9HpUlwW1,2026-07-08 11:00:00,default,,,pay_d7IPz26A4drtgF,456401418i25,order_2059,RCPT-2026-2059,upi,,,,
pay_liOeT8fGxCjtu6,payment,0,588828,588828,INR,0,0,false,true,2026-07-06 11:00:00,2026-07-08 11:00:00,setl_scmc5F9HpUlwW1,2026-07-08 11:00:00,default,,,pay_liOeT8fGxCjtu6,456401418i25,order_2061,RCPT-2026-2061,upi,,,,
pay_JRzhbuXMZ5f0pK,payment,0,1665850,1706114,INR,34122,6142,false,true,2026-07-06 18:27:00,2026-07-08 11:00:00,setl_scmc5F9HpUlwW1,2026-07-08 11:00:00,default,,,pay_JRzhbuXMZ5f0pK,456401418i25,order_2064,RCPT-2026-2064,card,Amex,KKBK,credit,
pay_WeNGmWv7Ojgpkj,payment,0,1575611,1613694,INR,32274,5809,false,true,2026-07-06 07:21:00,2026-07-08 11:00:00,setl_scmc5F9HpUlwW1,2026-07-08 11:00:00,default,,,pay_WeNGmWv7Ojgpkj,456401418i25,order_2065,RCPT-2026-2065,card,MasterCard,SBIN,credit,
