id,entity,amount,status,fees,tax,utr,created_at
setl_4jB6nBvbdFo9xb,settlement,4744278,processed,34665,6240,206389694w93,2026-07-03 11:00:00
setl_XirZRiRBaepZIT,settlement,2044026,processed,9675,1742,666690337n24,2026-07-04 11:00:00
setl_ohoNMdZEHNJSsa,settlement,383038,processed,3153,567,478833337h83,2026-07-05 12:00:00
setl_lPGw7HWFb2cxxU,settlement,7628493,processed,90860,16356,483426624z18,2026-07-06 11:00:00
setl_oOgKUivuNZQ8Dl,settlement,3018610,processed,55627,10013,206389694wxy,2026-07-07 09:00:00
setl_scmc5F9HpUlwW1,settlement,12788435,processed,162334,29220,456401418i25,2026-07-08 11:00:00
setl_ByB7vlQwXqfAA9,settlement,6937466,processed,139171,23973,293763673r47,2026-07-09 11:00:00
setl_gusBSkBBT4MANX,settlement,7236842,processed,102005,18361,161587757c95,2026-07-10 14:00:00
setl_zFUjb0QBhoOw6c,settlement,2926629,processed,52502,9451,264752975v67,2026-07-11 11:00:00
setl_xVJGyOphTExIqq,settlement,314328,processed,12451,2241,579182105g88,2026-07-12 11:00:00
setl_kM3u5c1f6VqnJM,settlement,2540420,processed,32547,5858,132519237p90,2026-07-04 11:00:00
