entry_id,date,account_code,account_name,debit,credit,narration,memo,source_ref
JV-0001,2026-07-03,1010,Bank — Current Account,47442.78,,"Razorpay settlement setl_4jB6nBvbdFo9xb credited to bank as Rs 47,442.78 covering 6 transaction(s) gross Rs 47,851.83, net of gateway charges, GST on those charges, refunds and disputes.","NEFT credit, bank txn bnk_r7DXQsedBE",setl_4jB6nBvbdFo9xb
JV-0001,2026-07-03,5210,Payment Gateway Charges,346.65,,,"MDR on Rs 47,851.83 of settled sales",setl_4jB6nBvbdFo9xb
JV-0001,2026-07-03,1310,Input GST Recoverable,62.40,,,18% GST on gateway charges — recoverable as input tax credit,setl_4jB6nBvbdFo9xb
JV-0001,2026-07-03,1210,Razorpay Clearing Account,,47851.83,,Clearing account discharged for settlement setl_4jB6nBvbdFo9xb,setl_4jB6nBvbdFo9xb
JV-0002,2026-07-04,1010,Bank — Current Account,20440.26,,"Razorpay settlement setl_XirZRiRBaepZIT credited to bank as Rs 20,440.26 covering 3 transaction(s) gross Rs 20,554.43, net of gateway charges, GST on those charges, refunds and disputes.","NEFT credit, bank txn bnk_vi1t9vyVFg",setl_XirZRiRBaepZIT
JV-0002,2026-07-04,5210,Payment Gateway Charges,96.75,,,"MDR on Rs 20,554.43 of settled sales",setl_XirZRiRBaepZIT
JV-0002,2026-07-04,1310,Input GST Recoverable,17.42,,,18% GST on gateway charges — recoverable as input tax credit,setl_XirZRiRBaepZIT
JV-0002,2026-07-04,1210,Razorpay Clearing Account,,20554.43,,Clearing account discharged for settlement setl_XirZRiRBaepZIT,setl_XirZRiRBaepZIT
JV-0003,2026-07-05,1010,Bank — Current Account,3830.38,,"Razorpay settlement setl_ohoNMdZEHNJSsa credited to bank as Rs 3,830.38 covering 3 transaction(s) gross Rs 3,867.58, net of gateway charges, GST on those charges, refunds and disputes.","NEFT credit, bank txn bnk_CqpgrxMp1j",setl_ohoNMdZEHNJSsa
JV-0003,2026-07-05,5210,Payment Gateway Charges,31.53,,,"MDR on Rs 3,867.58 of settled sales",setl_ohoNMdZEHNJSsa
